id,role,category,skill,question_type,difficulty,seniority,question,interview_intent,expected_points,source_type,answer
ALG_011,算法工程师,训练稳定性,损失异常排查,故障排查或失败复盘,高级,3-5年｜5年以上,深度学习模型训练到中途突然出现Loss为NaN，你会按照什么顺序定位问题？,考查候选人对数值稳定性、数据质量和训练过程诊断的熟练程度。,异常批次与输入检查｜学习率｜梯度爆炸｜数值溢出｜损失函数｜混合精度｜梯度裁剪｜复现实验,human_seed,我会先定位第一个出现NaN的Batch，检查输入数据中是否存在NaN、Inf、异常大值或非法标签；然后从前向计算开始逐层检查，找出第一个出现异常的算子，重点关注除零、log(0)、开方负数、空Mask和指数溢出；之后检查学习率是否过大、梯度是否爆炸，可以降低学习率、增加Warmup和梯度裁剪；如果使用混合精度，还会暂时切换到FP32排查数值溢出，最终从最近正常的Checkpoint复现并缩小问题范围。
ALG_012,算法工程师,模型部署,大模型与小模型选择,方案权衡或开放题,高级,3-5年｜5年以上,面对一个效果更好但成本和延迟明显更高的大模型，以及一个效果略差但部署简单的小模型，你会如何做最终选择？,考查候选人以业务目标为中心进行多目标决策的能力。,核心业务指标｜效果增益价值｜延迟与吞吐｜算力成本｜稳定性｜可解释性｜蒸馏或级联方案｜长期维护,human_seed,我会先明确业务的硬约束，包括延迟、吞吐、资源预算、稳定性和效果要求，然后计算大模型带来的增量业务收益能否覆盖额外成本；对于实时推荐、广告或风控场景，通常更倾向小模型，而对于低频、高价值、效果优先的任务，大模型可能更合适；实际中也可以采用大小模型级联，让小模型处理大多数简单请求，大模型只处理高价值或低置信度样本，或者通过知识蒸馏把大模型能力迁移到小模型，最终通过线上A/B测试和投入产出比做决定。
DA_001,数据分析师,统计基础,均值与中位数,基础概念,初级,校招｜1-3年,均值和中位数各有什么特点？分析用户收入或订单金额时应如何选择？,考查候选人对描述性统计和异常值影响的理解。,集中趋势｜异常值敏感性｜偏态分布｜分位数补充｜结合业务分布选择,human_seed,均值会利用所有数据，适合描述分布比较对称、异常值较少的数据，但容易被极端值影响；中位数是排序后处于中间位置的数，对异常值更稳健。用户收入和订单金额通常是长尾分布，少数高收入用户或大额订单会明显拉高均值，所以我一般同时看均值和中位数：中位数表示典型用户水平，均值更适合计算整体收入、客单价和财务贡献，还会补充分位数来观察长尾情况。
DA_002,数据分析师,统计推断,置信区间与显著性,基础概念,初级,校招｜1-3年,统计显著意味着什么？为什么结果显著不一定代表业务上重要？,考查候选人是否能区分统计显著性与实际业务价值。,原假设与p值｜样本量影响｜效应量｜置信区间｜业务成本收益｜多重检验,human_seed,统计显著表示在原假设成立的情况下，当前实验差异由随机波动产生的概率比较低，通常用P值或置信区间判断，但它不代表差异一定大，也不代表业务收益一定高。样本量非常大时，哪怕点击率只提升0.01%也可能显著，因此还要结合效果量、置信区间、收入增量、实施成本和潜在风险判断业务价值。
DA_003,数据分析师,SQL,连接方式,原理与方法比较,初级,校招｜1-3年,INNER JOIN、LEFT JOIN和FULL OUTER JOIN有什么区别？,考查候选人对数据关联逻辑和结果集差异的掌握。,保留记录范围｜空值产生｜主表选择｜重复键导致行数膨胀｜业务示例,human_seed,INNER JOIN只保留两张表中能够匹配的数据，例如分析“产生过订单的注册用户”；LEFT JOIN保留左表全部数据，右表匹配不到时补NULL，例如以用户表为主统计所有用户的订单情况，包括未下单用户；FULL OUTER JOIN保留两边的全部数据，适合对账场景，例如对比支付系统和订单系统的数据，同时找出只有订单记录或只有支付记录的异常数据。
DA_004,数据分析师,分析方法,相关与因果,原理与方法比较,初级,校招｜1-3年,相关关系和因果关系有什么区别？看到两个指标高度相关时，你会如何避免得出错误结论？,考查候选人对混杂因素和因果推断边界的认识。,相关不等于因果｜反向因果｜混杂变量｜时间顺序｜实验或准实验验证｜稳健性检查,human_seed,相关关系只表示两个指标一起变化，因果关系则表示一个指标的变化真正导致了另一个指标变化，高相关可能由共同因素、反向因果或时间趋势造成。例如广告投入和销售额同时增长，可能只是因为节假日带动了两者。我会先分析业务机制和时间先后关系，控制季节、用户类型等混杂变量，再通过随机对照实验验证；无法做实验时，可以使用匹配、双重差分或工具变量等方法，但结论要明确说明假设和局限。
DA_005,数据分析师,SQL,留存分析,实操或任务题,中级,校招｜1-3年,有用户登录明细表，字段为user_id和login_date，请说明如何计算每日新增用户的次日留存率。,考查候选人将业务口径转化为SQL逻辑的能力。,定义新增用户｜首登日期｜次日回访判断｜去重｜按首登日聚合｜分母分子口径｜边界日期,human_seed,先根据登录明细计算每个用户第一次登录的日期，把这一天作为新增日期；然后判断用户是否在新增日期的第二天再次登录。每日次日留存率就是“当天新增且第二天登录的用户数 ÷ 当天新增用户数”。SQL上可以先用MIN(login_date)得到每个用户的首登日期，再将首登结果与登录明细按user_id连接，并判断login_date = first_login_date + 1 day，最后按首登日期聚合，同时注意先对用户每天的重复登录记录去重。
DA_006,数据分析师,指标体系,指标拆解,实操或任务题,中级,1-3年｜3-5年,请为一个内容社区搭建从增长到留存再到商业化的核心指标体系。,考查候选人建立指标层级和连接业务目标的能力。,北极星指标｜用户规模｜活跃与参与｜内容供给｜留存｜转化与收入｜护栏指标｜口径定义,human_seed,我会按照增长、活跃、留存、内容生态和商业化建立指标树：增长看新增用户数、获客成本和渠道转化率；活跃看DAU、MAU、使用时长和访问频次；留存看次日、7日、30日留存以及用户回访周期；内容生态看发布用户数、内容生产量、互动率、优质内容率和消费供给比；商业化看广告曝光、CTR、转化率、ARPU和收入。最上层可以选择DAU、有效内容消费时长或高质量互动用户数作为北极星指标，同时设置投诉率、内容违规率等护栏指标。
DA_007,数据分析师,业务分析,转化漏斗诊断,业务场景或案例题,中级,1-3年｜3-5年,某电商平台支付转化率连续三天下降10%，你会如何拆解并定位原因？,考查候选人处理业务指标异常的结构化分析能力。,确认口径和数据质量｜漏斗分层｜渠道与人群切片｜商品与价格｜端和版本｜支付链路｜外部因素｜优先级,human_seed,我会先确认指标口径、数据链路和同比环比基准是否正常，再将支付转化率拆成“访问→商品详情→加购→提交订单→支付成功”的漏斗，定位下降发生在哪一环；然后按照渠道、端、版本、地区、品类、新老用户和支付方式进行下钻，并对比流量结构是否变化。最后结合产品发布、营销活动、库存价格、支付接口成功率和页面性能排查，通常会优先关注变化时间点与异常事件是否一致。
DA_008,数据分析师,实验分析,A/B测试解释,业务场景或案例题,高级,3-5年｜5年以上,A/B测试显示点击率显著提升，但下单率下降且总体收入没有显著变化，你会如何解释并给出决策建议？,考查候选人对指标联动、实验有效性和决策风险的判断。,实验健康检查｜漏斗指标｜局部优化与总体目标｜效应量与区间｜用户分层｜长期影响｜继续实验或停止条件,human_seed,这说明实验可能增加了低意向点击，或者推荐内容更吸引人但购买意愿更弱，点击率提升没有转化成商业收益。我会进一步看点击到下单的转化率、客单价、用户分层、商品结构和长期留存，并确认下单率下降是否显著以及实验周期是否覆盖完整购买周期。如果核心目标是收入，且收入没有提升、下单率还有负向风险，我不会直接全量上线，可以针对真正受益的人群灰度发布，或者继续优化推荐目标，把点击、下单和收入做多目标权衡。
DA_009,数据分析师,项目经验,分析闭环,项目经历深挖,中级,校招｜1-3年｜3-5年,请介绍一个你主导的数据分析项目，从问题提出、数据处理、分析方法到业务落地完整说明。,考查候选人是否具备从业务问题到行动建议的完整闭环。,问题背景｜口径与数据源｜分析假设｜方法选择｜关键发现｜建议落地｜量化结果｜个人贡献,human_seed,我主导过一个新用户留存下降的分析项目，目标是定位7日留存连续下降的原因，数据包括数千万条用户行为、渠道和版本记录。我先统一新增和留存口径，排除埋点异常，再通过用户分群、留存漏斗和版本对比发现，某版本的新手引导步骤增加导致关键功能到达率下降。我进一步通过路径分析和小流量实验验证结论，最终推动产品缩短引导流程，关键功能到达率和7日留存得到提升，并建立了版本上线后的自动监控看板。
DA_010,数据分析师,项目经验,洞察转化,项目经历深挖,中级,1-3年｜3-5年,请讲一个你的分析结论真正改变了产品或运营决策的案例，你如何推动对方采纳？,考查候选人的洞察质量、沟通方式和影响力。,原决策背景｜证据链｜结论不确定性｜可执行建议｜利益相关方沟通｜落地结果｜后续验证,human_seed,我曾发现某个高投入渠道虽然新增用户很多，但30日留存和付费率明显偏低，按新增成本看似有效，按用户生命周期价值计算实际是亏损的。我没有只展示结论，而是把用户从获客、留存到付费的完整链路和不同预算方案做成可量化对比，同时提前和运营确认口径、与财务核对收益模型。最终推动团队减少该渠道预算，并转向高LTV渠道；推动采纳的关键是让结论可验证、收益可量化，并给出能够直接执行的方案。
DA_011,数据分析师,数据质量,指标不一致排查,故障排查或失败复盘,高级,3-5年｜5年以上,同一个GMV指标在数据看板、财务报表和运营周报中数值都不同，你会怎样定位并统一口径？,考查候选人处理跨系统口径冲突和数据治理问题的能力。,业务定义对齐｜时间与退款口径｜数据源和延迟｜去重与汇率｜链路核对｜责任人机制｜指标字典｜历史修正,human_seed,我会先建立口径对比表，逐项检查时间范围、时区、订单状态、支付时间还是下单时间、是否包含退款、运费、优惠券、税费和测试订单，再检查数据源、更新频率、去重逻辑和延迟数据处理方式。定位差异后，需要明确GMV的业务定义和财务定义，例如运营GMV可以按支付金额统计，财务收入则需要扣除退款和相关成本；最终由业务、财务和数据团队共同确认指标字典，统一公共数据层，并让所有报表引用同一套指标模型。
DA_012,数据分析师,决策支持,速度与严谨性权衡,方案权衡或开放题,高级,3-5年｜5年以上,业务方两小时后就要做决策，但完整分析需要三天，你会如何在速度与结论可靠性之间取舍？,考查候选人在信息不足和时间压力下提供高质量决策支持的能力。,明确决策问题｜最小可用分析｜关键假设｜风险区间｜快速数据验证｜分阶段交付｜标注限制｜后续补充,human_seed,我会先和业务方明确决策内容、可承受风险以及必须回答的问题，在两小时内提供最小可用分析：使用可信度最高的数据，检查核心口径，做关键指标拆解和明显异常排查，同时给出结论的置信程度、假设和风险边界。对于不确定部分，我会提供几种情景以及对应建议，例如先小范围灰度而不是直接全量；决策后再用三天完成更严格的分析和验证。核心是不能因为追求速度而隐藏不确定性，也不能因为无法做到完美就不给出可行动的判断。
SWE_001,软件开发工程师,并发基础,进程线程与协程,基础概念,初级,校招｜1-3年,进程、线程和协程分别是什么？它们在资源占用、调度和适用场景上有什么区别？,考查候选人对并发执行模型的基础理解。,地址空间｜调度主体｜切换成本｜共享资源｜阻塞与异步｜CPU密集和I/O密集场景,human_seed,进程是操作系统资源分配的基本单位，拥有独立地址空间，隔离性好但创建和切换成本较高；线程是CPU调度的基本单位，同一进程内的线程共享内存和文件资源，切换更轻量，但需要处理锁和线程安全问题；协程是运行在线程之上的用户态任务，由程序或运行时主动调度，切换成本最低，适合大量I/O并发，但不能天然利用多核执行CPU密集任务。通常CPU密集型任务使用多进程或多线程，I/O密集且并发量很高的任务适合协程。
SWE_002,软件开发工程师,计算机网络,HTTP与幂等性,基础概念,初级,校招｜1-3年,什么是HTTP请求的幂等性？GET、POST、PUT和DELETE通常如何体现幂等性？,考查候选人对接口语义和重试安全性的理解。,幂等定义｜方法语义｜重复请求结果｜服务端实现｜请求唯一标识｜重试风险,human_seed,幂等性是指对同一个请求执行一次和执行多次，对服务端资源产生的最终结果相同。GET只是查询资源，通常天然幂等；PUT一般是用指定内容整体更新资源，重复执行结果相同，因此通常幂等；DELETE重复删除同一个资源，第一次删除成功，后面可能返回资源不存在，但最终状态都是资源不存在，所以也属于幂等；POST通常用于创建资源，每执行一次都可能产生一条新记录，因此一般不幂等，但可以通过幂等键、唯一业务号或去重表实现幂等。
SWE_003,软件开发工程师,数据库,B+树与哈希索引,原理与方法比较,初级,校招｜1-3年,B+树索引和哈希索引有什么区别？为什么关系型数据库常使用B+树作为主流索引结构？,考查候选人对索引结构和查询场景的理解。,等值与范围查询｜有序性｜磁盘I/O｜树高｜联合索引｜哈希冲突｜排序与前缀匹配,human_seed,哈希索引通过哈希函数定位数据，等值查询通常接近O(1)，但不支持范围查询、排序和最左前缀匹配，还可能存在哈希冲突；B+树的数据按顺序存储，查询复杂度是O(log n)，叶子节点之间通过链表连接，因此既支持等值查询，也支持范围扫描、排序和前缀查询。关系型数据库经常需要范围查询和有序遍历，而且B+树节点可以存放较多键值，树高较低、磁盘I/O次数少，所以更适合作为通用索引结构。
SWE_004,软件开发工程师,接口设计,REST与RPC,原理与方法比较,初级,校招｜1-3年,REST和RPC各有什么优缺点？在内部微服务和开放平台接口中你会如何选择？,考查候选人能否结合调用方、协议和治理需求选择接口风格。,资源语义｜性能与序列化｜契约管理｜调试与兼容性｜跨语言｜网关生态｜内外部场景,human_seed,REST以资源为中心，通常使用HTTP和JSON，接口语义清晰、跨语言兼容好、调试方便，适合开放平台和面向第三方的接口，但传输开销相对较大，复杂操作有时难以自然映射为资源；RPC以调用远程函数为中心，通常配合Protobuf等二进制协议，性能高、接口约束强、代码生成方便，适合内部微服务通信，但对外部使用者的技术绑定更强。我的选择通常是内部高频服务优先RPC，对外开放接口优先REST。
SWE_005,软件开发工程师,数据结构,LRU缓存,实操或任务题,中级,校招｜1-3年,请设计一个支持O(1)查询和更新的LRU缓存，并说明核心数据结构与淘汰流程。,考查候选人将数据结构组合用于实际需求的能力。,哈希表｜双向链表｜访问后移动｜尾部淘汰｜容量边界｜并发安全扩展｜复杂度,human_seed,核心使用哈希表加双向链表，哈希表负责根据Key在O(1)时间内找到节点，双向链表按最近访问顺序保存节点，头部表示最近使用，尾部表示最久未使用。查询命中后把节点移动到链表头部；更新已有Key时修改值并移动到头部；插入新Key时放到头部，如果容量超限，就删除尾部节点，并同步从哈希表中移除，因此查询、更新和淘汰都可以做到O(1)。
SWE_006,软件开发工程师,系统组件,限流器设计,实操或任务题,中级,1-3年｜3-5年,请设计一个面向API网关的限流器，说明算法、存储方式、分布式一致性和异常降级。,考查候选人的组件设计与工程落地能力。,固定窗口或滑动窗口｜令牌桶｜限流维度｜本地与集中存储｜原子更新｜时钟问题｜降级与监控,human_seed,我通常选择令牌桶算法，因为它既能限制长期平均速率，也允许一定程度的瞬时突发流量；单机可以使用内存中的原子计数器，分布式场景可以使用Redis加Lua脚本，保证补充令牌、判断和扣减操作的原子性，并按照用户、接口、租户等维度生成限流Key。强一致性要求不高时可以采用网关节点本地限流加中心配额分片，减少Redis压力；当Redis异常时，需要根据接口重要性决定降级策略，核心交易接口可以保守拒绝，普通查询接口可以切换到本地限流并设置较小阈值，同时做好监控和告警。
SWE_007,软件开发工程师,线上稳定性,延迟异常定位,业务场景或案例题,中级,1-3年｜3-5年,一个接口的平均延迟基本不变，但P99延迟突然升高，你会如何定位问题？,考查候选人对长尾延迟、监控和调用链排查的理解。,指标分位数｜请求分层｜调用链追踪｜慢查询｜GC与线程池｜下游抖动｜网络｜资源争用,human_seed,这说明大多数请求正常，但少量长尾请求变慢，我会先按实例、接口、机房、请求参数和时间段拆分P99，确认问题是否集中在部分节点或特定请求；然后结合链路追踪检查数据库、缓存、下游RPC和线程池耗时，重点关注慢SQL、锁竞争、连接池耗尽、GC停顿、网络重传、磁盘抖动和下游超时重试。还要检查流量是否出现大对象、热点Key或请求倾斜，因为平均值很容易掩盖少量异常请求。
SWE_008,软件开发工程师,系统设计,高并发交易系统,业务场景或案例题,高级,3-5年｜5年以上,请设计一个高并发秒杀系统，重点说明库存一致性、防超卖、限流、降级和订单可靠性。,考查候选人的高并发系统设计及关键风险识别能力。,流量削峰｜库存预扣｜原子操作｜消息队列｜幂等｜热点隔离｜超卖防护｜失败补偿｜监控,human_seed,入口层先通过CDN、验证码、用户资格校验和网关限流过滤无效流量，并对用户和商品维度做防重复请求；库存提前加载到Redis，使用Lua脚本原子判断和扣减，避免超卖，同时数据库通过条件更新和唯一订单号做最终兜底。抢购成功后将下单请求写入消息队列异步创建订单，并通过事务消息、消息重试、幂等消费和补偿任务保证可靠性；系统过载时关闭非核心功能、返回排队状态或快速失败，订单超时未支付后通过延迟消息释放库存，同时定期对Redis库存、订单和数据库库存进行对账。
SWE_009,软件开发工程师,项目经验,架构与个人贡献,项目经历深挖,中级,校招｜1-3年｜3-5年,请选择一个你参与度最高的软件项目，说明整体架构、核心难点、你的责任边界和关键技术决策。,考查候选人的项目真实性、架构理解和个人贡献。,业务规模｜模块边界｜技术选型｜个人负责内容｜难点处理｜结果指标｜协作方式｜复盘,human_seed,我参与度最高的是一个高并发交易服务，整体采用网关、业务微服务、Redis、消息队列和MySQL组成的分布式架构，核心难点是高峰流量下的库存一致性、接口延迟和订单可靠性。我的责任包括订单核心链路设计、缓存与数据库一致性方案、消息幂等以及性能压测；关键技术决策是使用Redis原子扣减承接高并发、消息队列异步削峰、数据库唯一约束防止重复订单，并通过最终一致性和定时对账处理异常，最终系统能够稳定支撑目标峰值流量。
SWE_010,软件开发工程师,性能优化,优化验证,项目经历深挖,中级,1-3年｜3-5年,请讲一个你做过的性能优化案例，优化前的瓶颈是什么，如何定位，最终提升如何验证？,考查候选人是否具备基于证据的性能优化方法。,基准指标｜性能剖析｜瓶颈假设｜改动方案｜压测对比｜资源成本｜回归风险｜线上验证,human_seed,我做过一个订单查询接口优化，优化前P99延迟较高，压测发现主要瓶颈是循环查询数据库导致的N+1问题，以及多个下游接口串行调用。我先通过链路追踪和火焰图确认耗时分布，然后将数据库查询改成批量查询并补充联合索引，把无依赖的下游调用改为并行，同时对稳定数据增加本地缓存。优化后通过相同数据量、并发度和机器配置进行对比压测，并在线上灰度观察P95、P99、错误率和资源占用，确认延迟下降且没有引入数据一致性问题。
SWE_011,软件开发工程师,故障处理,CPU或内存异常,故障排查或失败复盘,高级,3-5年｜5年以上,线上服务出现CPU持续100%并伴随内存增长，你会按照什么步骤排查并止损？,考查候选人的生产故障应急、定位和复盘能力。,流量与发布变更｜实例隔离和扩容｜线程与堆分析｜GC｜死循环或热点代码｜依赖异常｜回滚｜根因复盘,human_seed,我会先通过限流、摘除异常实例、扩容或回滚最近版本控制影响，避免服务完全不可用；然后查看进程和线程级CPU占用，使用火焰图、线程栈或Profiler定位热点代码，同时分析堆内存、对象增长速度和GC日志。常见原因包括死循环、频繁重试、锁自旋、缓存无限增长、大量对象创建或内存泄漏；定位后通过关闭异常功能、降低并发或临时调整参数止损，再修复代码，并通过压测和长时间运行验证CPU、内存和GC是否恢复稳定。
SWE_012,软件开发工程师,分布式系统,一致性与可用性权衡,方案权衡或开放题,高级,3-5年｜5年以上,在分布式系统中，哪些业务必须优先保证强一致性，哪些可以接受最终一致性？请说明判断框架。,考查候选人根据业务损失和系统成本做一致性选择的能力。,业务不变量｜错误成本｜用户可感知性｜补偿能力｜一致性模型｜可用性和延迟｜审计需求｜具体案例,human_seed,判断重点是数据短暂不一致会不会造成资金损失、不可逆操作或严重合规风险。账户余额扣减、库存最终确认、支付状态和唯一权益发放通常优先保证强一致性，至少要通过事务、条件更新和幂等避免重复扣款或超卖；搜索索引、推荐结果、统计报表、点赞数和消息未读数通常可以接受最终一致性，因为短暂延迟只影响体验，不会造成严重损失。实际设计时还要综合一致性成本、延迟要求、故障容忍度和业务补偿能力，而不是所有数据都追求强一致。
DS_001,数据科学家,统计推断,p值与假设检验,基础概念,初级,校招｜1-3年,请解释p值的含义，并指出关于p值最常见的两种误解。,考查候选人对假设检验基本概念的准确理解。,条件概率含义｜不是原假设为真的概率｜不等于效应大小｜显著性阈值｜样本量影响,human_seed,p值表示在原假设成立的前提下，观察到当前结果或更极端结果的概率，它越小，说明当前数据与原假设越不一致。常见误解之一是把p值理解成“原假设为真的概率”，这是错误的；另一个误解是认为p值小于0.05就说明结果很重要，实际上统计显著不等于效果大或有业务价值，还要结合效果量、置信区间、样本量和业务成本判断。
DS_002,数据科学家,模型评估,概率校准,基础概念,初级,校招｜1-3年,什么是分类模型的概率校准？一个AUC很高的模型为什么仍可能校准很差？,考查候选人对排序能力与概率可信度差异的理解。,区分度与校准度｜预测概率含义｜可靠性曲线｜Brier Score｜Platt或Isotonic方法｜业务决策影响,human_seed,概率校准是指模型输出的预测概率能够对应真实发生频率，例如预测概率约为0.8的一批样本中，实际应当大约有80%是正样本。AUC衡量的是排序能力，只关心正样本得分是否普遍高于负样本，并不要求分数本身是真实概率，所以模型可能AUC很高，但输出0.9的样本实际只有50%为正。常见校准方法包括Platt Scaling和Isotonic Regression，校准效果可以使用可靠性曲线、Brier Score和Log Loss评估。
